epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.769,1.33239,1.46285,1.17202,0.91691,0.94539,0.97032,0.6712,1.00813,0.82822,0.99788,0.000553272,0.000553272,0.000553272
2,638.134,1.19102,0.87585,1.09161,0.9503,0.97638,0.98548,0.72464,0.91118,0.7226,0.96261,0.000742989,0.000742989,0.000742989
3,952.456,1.12786,0.77963,1.06172,0.96295,0.98805,0.99102,0.74573,0.87991,0.57055,0.93929,0.000565966,0.000565966,0.000565966
