epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.263,1.3369,1.46162,1.17449,0.90686,0.93146,0.97002,0.71121,0.93705,0.7998,0.95038,0.000553272,0.000553272,0.000553272
2,455.544,1.19063,0.87975,1.08779,0.96864,0.97106,0.99035,0.72445,0.95734,0.6501,0.96665,0.000742989,0.000742989,0.000742989
3,674.977,1.11709,0.76692,1.06079,0.97479,0.99014,0.99335,0.75338,0.87252,0.55213,0.93298,0.000565966,0.000565966,0.000565966
